ENSG	rep_01|CDS	rep_01|5utr	rep_01|3utr	rep_01|5utr|3utr	rep_01|intron	rep_01|intergenic	rep_01|noncoding_exon	rep_01|noncoding_intron
ENSG00000264149.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000251586.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000168300.9	2.5854|14.13381	NaN|0.00000	0.3291|0.27508	NaN|0.00000	0.4999|3.01537	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000184992.10	1.7885|2.39031	NaN|0.00000	0.9812|1.20150	NaN|0.00000	1.4018|4.91229	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000185607.5	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	2.4446|2.38716	NaN|0.00000
ENSG00000183773.11	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000240505.4	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000229419.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	2.5255|8.97474	NaN|0.00000
ENSG00000183092.11	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-0.1762|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000132004.8	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|1.30545	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000213420.3	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000205302.2	2.1133|8.33766	NaN|0.00000	NaN|0.00000	NaN|0.00000	-0.0091|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000233157.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000258344.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	0.8185|13.95032
ENSG00000267280.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|1.14788	1.4990|1.73738
